Address,City/Town,State,ZIP Code,County/Parish,Latitude,Longitude
"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,CHOCTAW,31.7340713,-86.6754793
150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,33.93026625,-86.49386236657949
1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,RANDOLPH,33.295518650000005,-85.48038940870691
1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,33.5206824,-86.8024326
1700 CENTER STREET,MOBILE,AL,36604,MOBILE,30.698309899999998,-88.07745725825652
3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,61.1871675,-149.8194390739112
2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA-SUSITNA,61.5627638,-149.2578912431361
3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,58.3295414,-134.4651154
1650 COWLES STREET,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,64.83458703028262,-147.73921726129024
2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,61.21045645,-149.82863225693603
PO BOX 287,BETHEL,AK,99559,BETHEL,60.7922222,-161.755833
250 HOSPITAL PLACE,SOLDOTNA,AK,99669,KENAI PENINSULA,60.49352565,-151.07850281621722
4315 DIPLOMACY DR,ANCHORAGE,AK,99508,ANCHORAGE,61.18277225,-149.80017722898032
673 MDG 5955 Zeamer Ave,JBER,AK,99506,ANCHORAGE,61.237760699999995,-149.75179479311717
4076 Neely Road,Fort Wainwright,AK,99703,FAIRBANKS NORTH STAR,64.8297002,-147.6622292
PO BOX 550,VALDEZ,AK,99686,VALDEZ-CORDOVA,61.1299396,-146.349363
"417 FIRST AVENUE, PO BOX 365",SEWARD,AK,99664,KENAI PENINSULA,60.1013952,-149.4404281
PO BOX 589,PETERSBURG,AK,99833,PETERSBURG BOROUGH,56.7687945,-132.8801030034635
232 WOOD STREET,WRANGELL,AK,99929,WRANGELL CITY AND BOROUGH,56.45486560361195,-132.3740652822448
1915 EAST REZANOF DRIVE,KODIAK,AK,99615,KODIAK ISLAND BOROUGH,57.8009,-152.3756077
PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,VALDEZ-CORDOVA,60.5443385,-145.7595063
1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,64.4975098,-165.4061701
P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,59.043526650000004,-158.4694082450862
PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARTIC BOROUGH,66.8982057,-162.5977621
3100 TONGASS AVENUE,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,55.3535231,-131.68702157090547
7000 UULA ST,BARROW,AK,99723,NORTH SLOPE BOROUH,71.3865172,-156.4741383
4300 BARTLETT ST,HOMER,AK,99603,KENAI PENINSULA,59.65246045,-151.55007250373038
222 TONGASS DR,SITKA,AK,99835,SITKA BOROUGH,57.0516959,-135.3550607089997
1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,MARICOPA,33.4652783,-112.0564747
5301 EAST GRANT ROAD,TUCSON,AZ,85712,PIMA,32.252712599999995,-110.87823963504334
269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,YAVAPAI,34.73846500847458,-112.0310047457627
1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,PIMA,32.22757465,-111.00021317349851
350 NORTH WILMOT ROAD,TUCSON,AZ,85711,PIMA,32.22691825,-110.855436239915
1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,YAVAPAI,34.558804699999996,-112.48065342885081
2400 SOUTH AVENUE A,YUMA,AZ,85364,YUMA,32.682658,-114.6351026
250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,MARICOPA,33.5693337,-112.07065095818291
1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85122,PINAL,32.880980449999996,-111.70979940483264
2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,MARICOPA,33.45696975,-112.02698215382642
1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,COCONINO,35.20878985,-111.64402185590313
350 WEST THOMAS ROAD,PHOENIX,AZ,85013,MARICOPA,33.482238550000005,-112.08005262179437
2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,MARICOPA,33.5250664,-112.10216138369839
1955 WEST FRYE ROAD,CHANDLER,AZ,85224,MARICOPA,33.29684775,-111.87407504097483
1500 S MILL AVE,TEMPE,AZ,85282,MARICOPA,33.4125911,-111.94125219849707
7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,33.488604249999995,-111.9229238909844
5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,COCHISE,31.5545973,-110.2997756
3269 STOCKTON HILL ROAD,KINGMAN,AZ,86401,MOHAVE,35.2201076,-114.03799747458334
10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,MARICOPA,33.6035771,-112.2828345
2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,NAVAJO,34.20413405,-110.0180047869874
1625 NORTH CAMPBELL AVENUE,TUCSON,AZ,85719,PIMA,32.24197630633849,-110.94409464220512
1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,MARICOPA,33.3896734,-111.87716994772873
101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,MOHAVE,34.48044445,-114.33813392209615
PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,35.7531285,-109.06920941705337
PO BOX 600,TUBA CITY,AZ,86045,COCONINO,36.1300015,-111.2397574
"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,31.9159161,-111.878044
4212 NORTH 16TH STREET,PHOENIX,AZ,85016,MARICOPA,33.4963507,-112.0477356
3929 EAST BELL ROAD,PHOENIX,AZ,85032,MARICOPA,33.63939105,-111.99750968785605
"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,36.150143400000005,-109.56706853699023
6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,PIMA,32.228243195544,-111.01174052603872
9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,MARICOPA,33.582636,-111.88604675
6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,33.4105541,-111.6878027
5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,MARICOPA,33.6092131,-112.1785899
19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,MARICOPA,33.66634935,-112.1158366143348
14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,MARICOPA,33.659830299999996,-112.37278253357462
18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,MARICOPA,33.65459025,-112.20112892372751
2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,MOHAVE,35.11060475,-114.55580551949816
5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,MARICOPA,33.65848445,-111.9568195159019
6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,33.41136615,-111.68559742624436
4620 EAST BASELINE ROAD,MESA,AZ,85206,MARICOPA,33.38046285,-111.73471008368071
6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,MARICOPA,33.532035199999996,-112.09881870577328
13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,MARICOPA,33.46196165,-112.35284944462543
2800 EAST AJO WAY,TUCSON,AZ,85713,PIMA,32.175562049999996,-110.93032348444349
750 N 40TH STREET,PHOENIX,AZ,85008,MARICOPA,33.4566918,-111.99658834689176
200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,AZ,85941,NAVAJO,33.836535,-109.95657496837316
1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,PIMA,32.42516142198921,-110.95718947911104
9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,MARICOPA,33.47826845,-112.2573789049543
5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,MOHAVE,35.0175869,-114.5978815
3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85297,MARICOPA,33.287571549999996,-111.75159241330519
1301 SOUTH CRISMON ROAD,MESA,AZ,85209,MARICOPA,33.391612699999996,-111.6110045278943
1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,MARICOPA,33.3842248,-111.72261381320203
7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255,MARICOPA,33.6699018,-111.9213862
650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,33.49754215,-112.06686383928715
37000 NORTH GANTZEL ROAD,QUEEN CREEK,AZ,85140,PINAL,33.21493845,-111.56506833472096
750 NORTH 40TH STREET,PHOENIX,AZ,85008,MARICOPA,33.4566918,-111.99658834689176
2050 WEST SOUTHERN AVENUE,APACHE JUNCTION,AZ,85120,PINAL,33.39459995,-111.5671816583651
7171 SOUTH 51ST AVENUE,LAVEEN,AZ,85339,MARICOPA,33.359593664016955,-112.16911264434302
14200 WEST CELEBRATE LIFE WAY,GOODYEAR,AZ,85338,MARICOPA,33.453982249999996,-112.36443040018784
9130 EAST ELLIOT ROAD,MESA,AZ,85212,MARICOPA,33.35094115,-111.63726723076661
3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,32.2228765,-110.974847
33400 NORTH 32ND AVENUE,PHOENIX,AZ,85085,MARICOPA,33.7857515,-112.13029897691237
1405 SOUTH ALMA SCHOOL ROAD,CHANDLER,AZ,85286,MARICOPA,33.28510505,-111.8572301070057
16260 SOUTH RANCHO SAHUARITA BOULEVARD,SAHUARITA,AZ,85629,PIMA,31.9559573,-110.98534562124541
19060 NORTH JOHN WAYNE PARKWAY,MARICOPA,AZ,85139,PINAL,33.05277085,-112.04788496117531
5656 SOUTH POWER RD,GILBERT,AZ,85295,MARICOPA,33.3140801,-111.6895912
2648 SOUTH ARABY RD,YUMA,AZ,85365,YUMA,32.67455880231385,-114.52138301486706
500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,34.539984,-112.468812
520 ROSE LANE,WICKENBURG,AZ,85390,MARICOPA,33.9783985,-112.73985164368864
450 SOUTH OCOTILLO AVENUE,BENSON,AZ,85602,COCHISE,31.9649327,-110.3081116069948
901 WEST REX ALLEN DRIVE,WILLCOX,AZ,85643,COCHISE,32.2651761,-109.83836365010092
501 NORTH NAVAJO DRIVE,PAGE,AZ,86040,COCONINO,36.91778965,-111.46317094917934
"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,35.8366716,-110.381519
12033 AGENCY ROAD,PARKER,AZ,85344,LAPAZ,34.1498408,-114.28896
483 WEST SEED FARM ROAD,SACATON,AZ,85147,PINAL,33.07415368528991,-111.77274058608792
HIGHWAY 264 WEST AND 191 SOUTH,GANADO,AZ,86505,APACHE,35.6992764,-109.54982194820789
1501 NORTH WILLIAMSON AVENUE,WINSLOW,AZ,86047,NAVAJO,35.03517685,-110.69241904681954
101 COLE AVENUE,BISBEE,AZ,85603,COCHISE,31.4179084,-109.88314167173768
1171 WEST TARGET RANGE ROAD,NOGALES,AZ,85621,SANTA CRUZ,31.34004855,-110.95960971473919
5880 SOUTH HOSPITAL DRIVE,GLOBE,AZ,85501,GILA,33.3959139,-110.7871744
118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,AZ,85938,APACHE,34.131573,-109.285348
1200 WEST MOHAVE ROAD,PARKER,AZ,85344,LAPAZ,34.1498408,-114.28896
807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,GILA,34.2406479,-111.323026
1600 SOUTH 20TH AVENUE,SAFFORD,AZ,85546,GRAHAM,32.8227339,-109.73498656292365
103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,33.3010895,-110.458534517407
1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,MARICOPA,33.4789195,-112.04107260765934
603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,AR,72761,BENTON,36.1898867,-94.50775726629657
1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,JOHNSON,35.461908449999996,-93.4444013902538
3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,72703,WASHINGTON,36.0625843,-94.1574328
TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,34.7465071,-92.2896267
2710 SOUTH RIFE MEDICAL LANE,ROGERS,AR,72758,BENTON,36.3330154,-94.1166283
719 DETROIT STREET,DANVILLE,AR,72833,YELL,35.0547224,-93.38813233157279
3214 EAST RACE AVENUE,SEARCY,AR,72143,WHITE,35.252038,-91.69718629674725
311 NORTH MORROW STREET,MENA,AR,71953,POLK,34.58928535,-94.22138337999284
4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,PULASKI,34.7465071,-92.2896267
620 NORTH MAIN STREET,HARRISON,AR,72601,BOONE,36.23582318367347,-93.10725648979593
211 CRAWFORD MEMORIAL DRIVE,VAN BUREN,AR,72956,CRAWFORD,35.436200711482165,-94.33879362249925
1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,ST. FRANCIS,35.0400003,-90.77518118611141
225 E WASHIINGTON AVENUE,JONESBORO,AR,72401,CRAIGHEAD,35.8272257,-90.6949871
609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,WASHINGTON,36.180622,-94.13741558013277
300 WERNER STREET,HOT SPRINGS,AR,71903,GARLAND,34.467362699999995,-93.06722507102515
624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,BAXTER,36.342414950000006,-92.39685273525357
2302 COLLEGE AVENUE,CONWAY,AR,72034,FAULKNER,35.08559395,-92.45726561739828
3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR,72117,PULASKI,34.78444895,-92.22273388821685
900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,GREENE,36.0584021,-90.4973286
1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,POPE,35.28422475,-93.14909972264508
638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,33.575701699999996,-92.83684645566458
778 SCOGIN DRIVE,MONTICELLO,AR,71655,DREW,33.61062,-91.81668965089801
1001 TOWSON AVENUE,FORT SMITH,AR,72901,SEBASTIAN,35.3753217,-94.4195416103866
7301 ROGERS AVE,FORT SMITH,AR,72903,SEBASTIAN,35.3557597,-94.35358042549282
101 HOSPITAL DRIVE,MAGNOLIA,AR,71753,COLUMBIA,33.2747437,-93.2390491958811
1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,MISSISSIPPI,35.9431052,-89.91670864963586
1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,JEFFERSON,34.18804475,-92.01778763263852
1703 NORTH BUERKLE ST,STUTTGART,AR,72160,ARKANSAS,34.5177111,-91.55907166987961
1001 SCHNEIDER DRIVE,MALVERN,AR,72104,HOT SPRING,34.358098049999995,-92.78571755528573
1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,GARLAND,34.4863603,-93.03577209111188
#1 MEDICAL PARK DRIVE,BENTON,AR,72015,SALINE,34.573669550000005,-92.58602121888538
700 WEST GROVE STREET,EL DORADO,AR,71730,UNION,33.22087775,-92.67066676847321
1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,36.0782721,-94.157142
4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,34.7465071,-92.2896267
9601 BAPTIST HEALTH DRIVE,LITTLE ROCK,AR,72205,PULASKI,34.743831,-92.38100358733801
4800 EAST JOHNSON AVENUE,JONESBORO,AR,72405,CRAIGHEAD,35.86593345,-90.63716902101888
1710 HARRISON STREET,BATESVILLE,AR,72503,INDEPENDENCE,35.767636800000005,-91.63488520473206
300 PROSPECT AVE,HOT SPRINGS,AR,71901,GARLAND,34.5100517,-93.0571119
1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,PULASKI,34.73932405,-92.393248425
2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,PULASKI,34.8134189,-92.20837420064066
5201 NORTH SHORE DRIVE,NO LITTLE ROCK,AR,72118,PULASKI,34.7465071,-92.2896267
2001 SOUTH MAIN,HOPE,AR,71801,HEMPSTEAD,33.6670616,-93.5915665
1555 EXCHANGE AVENUE,CONWAY,AR,72032,FAULKNER,35.061246209362366,-92.41828640251902
2100 NORTH SEVENTH STREET,WEST MEMPHIS,AR,72301,CRITTENDEN,35.1464797,-90.1845388
1901 ENCORE WAY,BRYANT,AR,72022,SALINE,34.5959045,-92.488348
1400 BRADEN STREET,JACKSONVILLE,AR,72076,PULASKI,34.874036700000005,-92.1249115288395
500 EAST ACADEMY,PARIS,AR,72855,LOGAN,35.2924747,-93.7294452
200 NORTH THIRD STREET,DARDANELLE,AR,72834,YELL,35.2231408,-93.1579532
801 WEST RIVER STREET,OZARK,AR,72949,FRANKLIN,35.4856089,-93.83371763034684
1341 WEST SIXTH STREET,WALDRON,AR,72958,SCOTT,34.8984323,-94.0907634
61 GRASSE STREET,CALICO ROCK,AR,72519,BAXTER,36.1195143,-92.1359867
310 SOUTH FALLS BOULEVARD,WYNNE,AR,72396,CROSS,35.2197119,-90.78641838163367
900 SOUTH THIRD STREET,MCGEHEE,AR,71654,DESHA,33.6294189,-91.399277
1309 WEST MAIN STREET,WALNUT RIDGE,AR,72476,LAWRENCE,36.07378465,-90.96797411080232
2106 EAST MAIN STREET,MOUNTAIN VIEW,AR,72560,STONE,35.85673475,-92.08295672066431
130 MEDICAL CIRCLE,NASHVILLE,AR,71852,HOWARD,33.9507369,-93.87973891886071
1800 BYPASS ROAD,HEBER SPRINGS,AR,72543,CLEBURNE,35.4976958,-92.0324875
2500 HIGHWAY 65 SOUTH,CLINTON,AR,72031,VAN BUREN,35.5928879,-92.4573348
1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,34.27979675,-91.33803418402718
611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,35.6996791,-89.9757573834128
201 CLIFTON STREET,FORDYCE,AR,71742,DALLAS,33.80887,-92.425525
880 WEST MAIN,BOONEVILLE,AR,72927,LOGAN,35.1403474,-93.9219333
451 WEST LOCKE STREET,ASHDOWN,AR,71822,LITTLE RIVER,33.66908905,-94.13489675
3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,CLARK,34.1225135,-93.08915940481764
679 NORTH MAIN STREET,SALEM,AR,72576,FULTON,36.38272445,-91.81035620248086
1015 UNITY ROAD,CROSSETT,AR,71635,ASHLEY,33.138084199999994,-91.93845922112112
#4 HOSPITAL DRIVE,MORRILTON,AR,72110,CONWAY,35.1678311,-92.7213146633992
811 HIGHWAY 65 SOUTH,DUMAS,AR,71639,DESHA,33.8874667,-91.4898378
404 SOUTH BRADLEY STREET,WARREN,AR,71671,BRADLEY,33.6108031,-92.05963367409396
2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,33.3294799,-91.2850584
